City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Victoria,HK,22.2855,114.1577,89.26,81,92,1.99,overcast clouds
121,Mount Isa,AU,-20.7333,139.5,55.17,28,0,19.57,clear sky
122,Bolama,GW,11.5833,-15.4667,79.14,83,100,7.99,light rain
123,Hualmay,PE,-11.0964,-77.6139,62.13,81,31,10.16,scattered clouds
124,Kholtoson,RU,50.2981,103.3097,40.55,92,65,1.21,broken clouds
125,Bingol,TR,38.8847,40.4939,73.65,32,18,5.66,few clouds
126,Sao Felix Do Xingu,BR,-6.6447,-51.995,82.04,40,92,1.74,overcast clouds
127,Shingu,JP,33.7333,135.9833,87.39,64,21,2.77,few clouds
128,Port Hardy,CA,50.6996,-127.4199,64.58,77,20,10.36,few clouds
129,Kodiak,US,57.79,-152.4072,56.71,88,100,12.66,overcast clouds
130,Pangnirtung,CA,66.1451,-65.7125,40.86,98,99,7.83,light rain
131,Sarichioi,RO,44.95,28.85,73.62,68,54,9.22,broken clouds
132,Mildura,AU,-34.2,142.15,53.47,61,77,14.05,broken clouds
133,Biak,ID,-0.9131,122.8766,78.04,76,99,6.2,overcast clouds
134,Kaitangata,NZ,-46.2817,169.8464,49.42,77,77,11.63,broken clouds
135,Ystad,SE,55.4297,13.8204,52.54,75,22,9.24,few clouds
136,Madang,PG,-5.2246,145.7966,81.39,78,83,0.56,broken clouds
137,Celina,US,40.5489,-84.5702,75.51,73,19,3.33,few clouds
138,Bongor,TD,10.2806,15.3722,73.53,92,86,5.14,light rain
139,Kuusamo,FI,65.9667,29.1833,48.24,93,0,2.3,clear sky
140,Undory,RU,54.6085,48.3928,58.24,65,6,4.16,clear sky
141,Hervey Bay,AU,-25.2986,152.8535,59.02,48,5,8.01,clear sky
142,Ancud,CL,-41.8697,-73.8203,40.23,72,51,2.93,broken clouds
143,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,81.64,29,99,4.56,overcast clouds
144,Okhotsk,RU,59.3833,143.3,60.76,74,100,14.03,overcast clouds
145,Yellowknife,CA,62.456,-114.3525,59.56,47,75,12.66,broken clouds
146,Hunchun,CN,42.8675,130.3581,67.48,64,72,4.16,broken clouds
147,Dikson,RU,73.5069,80.5464,42.01,100,100,13.82,overcast clouds
148,Henties Bay,NA,-22.116,14.2845,54.57,86,34,1.28,scattered clouds
149,Huilong,CN,31.8111,121.655,82.92,72,97,11.07,overcast clouds
150,Elizabeth City,US,36.2946,-76.2511,81.0,84,0,4.61,clear sky
151,Mehamn,NO,71.0357,27.8492,49.91,81,100,26.46,light intensity drizzle
152,Ewa Beach,US,21.3156,-158.0072,86.4,70,100,10.36,overcast clouds
153,Pevek,RU,69.7008,170.3133,43.68,85,100,1.99,overcast clouds
154,Urumqi,CN,43.801,87.6005,54.55,62,0,2.24,clear sky
155,Santa Maria,BR,-29.6842,-53.8069,56.5,100,86,3.44,overcast clouds
156,Sesheke,ZM,-17.4759,24.2968,59.97,48,14,4.81,few clouds
157,Quatre Cocos,MU,-20.2078,57.7625,71.71,66,65,18.68,broken clouds
158,Cabo San Lucas,MX,22.8909,-109.9124,93.61,68,48,12.48,scattered clouds
159,Broken Hill,AU,-31.95,141.4333,50.0,58,4,13.13,clear sky
160,Dharchula,IN,29.85,80.5333,72.68,89,100,3.29,overcast clouds
161,San Quintin,MX,30.4833,-115.95,73.17,75,1,6.96,clear sky
162,Norman Wells,CA,65.282,-126.8329,69.84,56,20,8.05,smoke
163,Lubao,PH,14.9167,120.55,80.67,89,100,5.55,overcast clouds
164,Guaruja,BR,-23.9931,-46.2564,67.84,82,43,5.99,scattered clouds
165,Saint-Philippe,RE,-21.3585,55.7679,65.79,74,47,13.11,scattered clouds
166,Khandbari,NP,27.3747,87.2039,73.13,87,96,1.32,overcast clouds
167,Mahebourg,MU,-20.4081,57.7,71.89,68,75,14.97,broken clouds
168,Southampton,GB,50.904,-1.4043,68.0,93,74,1.99,broken clouds
169,Mar Del Plata,AR,-38.0023,-57.5575,53.1,90,0,7.0,clear sky
170,Coquimbo,CL,-29.9533,-71.3436,55.13,87,75,6.91,broken clouds
171,Kaeo,NZ,-35.1,173.7833,59.32,81,87,8.14,overcast clouds
172,Pasni,PK,25.2631,63.471,80.22,87,100,12.28,overcast clouds
173,Zhanakorgan,KZ,43.9098,67.2495,67.26,24,0,11.7,clear sky
174,Beloha,MG,-25.1667,45.05,65.14,86,3,10.76,clear sky
175,Saint-Pierre,RE,-21.3393,55.4781,73.56,63,20,8.05,few clouds
176,Baltasi,RU,56.3462,50.2062,64.13,70,1,0.22,clear sky
177,Klyuchi,RU,52.2667,79.1667,49.46,65,8,7.36,clear sky
178,Talnakh,RU,69.4865,88.3972,56.21,95,96,6.38,overcast clouds
179,Abha,SA,18.2164,42.5053,71.85,16,0,0.0,clear sky
180,Okha,RU,53.5739,142.9478,54.12,93,100,25.84,light rain
181,Ende,ID,-8.8432,121.6623,79.27,64,44,2.19,scattered clouds
182,Save,BJ,8.0425,2.486,69.82,98,92,4.68,overcast clouds
183,Xai-Xai,MZ,-25.0519,33.6442,63.55,81,1,4.9,clear sky
184,Yining,CN,29.0361,114.5636,80.96,88,98,4.81,overcast clouds
185,Sarmanovo,RU,55.2553,52.5891,68.68,67,22,2.93,few clouds
186,Ust-Kulom,RU,61.6864,53.6902,61.29,86,38,4.85,scattered clouds
187,Komsomolskiy,UZ,40.4272,71.7189,66.92,42,2,4.61,clear sky
188,Carroll,US,39.5501,-77.0164,81.5,66,34,1.01,scattered clouds
189,Bredasdorp,ZA,-34.5322,20.0403,58.75,48,0,8.3,clear sky
190,Mayumba,GA,-3.432,10.6554,70.59,89,12,5.06,few clouds
191,Chicama,PE,-7.8447,-79.1469,57.74,81,40,7.05,scattered clouds
192,Grand-Lahou,CI,5.1367,-5.0242,74.03,91,83,9.71,light rain
193,Adrar,MR,20.5022,-10.0711,100.09,13,66,5.95,broken clouds
194,Muli,MV,2.9167,73.5667,82.15,74,90,9.33,overcast clouds
195,Margate,GB,51.3813,1.3862,66.9,95,65,1.01,broken clouds
196,Kahului,US,20.8947,-156.47,89.62,51,40,18.41,scattered clouds
197,Vao,NC,-22.6667,167.4833,73.17,70,0,12.12,clear sky
198,Klaksvik,FO,62.2266,-6.589,52.72,99,92,11.34,overcast clouds
199,Bambous Virieux,MU,-20.3428,57.7575,71.85,68,75,14.97,light rain
200,Qasigiannguit,GL,68.8193,-51.1922,41.25,96,100,5.93,light rain
201,Saint-Joseph,RE,-21.3667,55.6167,72.46,74,23,13.82,few clouds
202,Arman,RU,59.7,150.1667,55.02,89,100,14.67,moderate rain
203,Stornoway,GB,58.2093,-6.3865,48.92,92,21,0.0,few clouds
204,Ribeira Grande,PT,38.5167,-28.7,72.9,82,100,9.42,moderate rain
205,Necochea,AR,-38.5473,-58.7368,51.31,69,46,9.93,scattered clouds
206,Tevriz,RU,57.509,72.4042,53.78,97,16,3.24,few clouds
207,Mondeville,FR,49.175,-0.3224,67.15,100,47,3.44,scattered clouds
208,Birao,CF,10.2849,22.7882,69.33,98,100,3.49,moderate rain
209,Hofn,IS,64.2539,-15.2082,49.21,77,100,21.88,light rain
210,Waingapu,ID,-9.6567,120.2641,78.6,65,55,13.11,broken clouds
211,Baruun-Urt,MN,46.6806,113.2792,54.84,64,99,5.44,overcast clouds
212,Farakka,IN,24.8167,87.9,79.79,91,97,5.59,heavy intensity rain
213,Tiksi,RU,71.6872,128.8694,44.71,67,96,6.15,overcast clouds
214,Kenai,US,60.5544,-151.2583,59.09,86,100,10.36,light rain
215,Codrington,AU,-38.2667,141.9667,50.97,85,100,14.2,light rain
216,Alofi,NU,-19.0595,-169.9187,80.49,65,40,10.36,scattered clouds
217,Kavaratti,IN,10.5669,72.642,80.53,79,100,15.97,overcast clouds
218,Bethel,US,41.3712,-73.414,81.45,74,0,3.44,clear sky
219,Yar-Sale,RU,66.8333,70.8333,61.2,79,99,7.23,overcast clouds
220,La Ronge,CA,55.1001,-105.2842,68.25,56,40,6.91,smoke
221,Bacolod,PH,10.6667,122.95,81.79,78,100,5.37,overcast clouds
222,Tautira,PF,-17.7333,-149.15,75.24,82,62,16.82,light rain
223,Vanimo,PG,-2.6741,141.3028,82.58,74,60,6.46,broken clouds
224,Severo-Kurilsk,RU,50.6789,156.125,55.89,98,100,7.05,overcast clouds
225,Tabuk,PH,17.4189,121.4443,77.02,90,100,6.76,light rain
226,Ixtapa,MX,20.7,-105.2,79.3,93,86,2.01,overcast clouds
227,Havre-Saint-Pierre,CA,50.2334,-63.5986,66.56,100,75,3.44,broken clouds
228,Torbay,CA,47.6666,-52.7314,65.26,90,100,17.27,overcast clouds
229,Damietta,EG,31.4165,31.8133,78.69,72,0,9.55,clear sky
230,Auki,SB,-8.7676,160.7034,82.63,77,92,2.24,overcast clouds
231,Ucluelet,CA,48.9329,-125.5528,66.51,76,11,9.55,few clouds
232,Cacule,BR,-14.5033,-42.2222,68.59,59,7,9.62,clear sky
233,Ures,MX,29.4333,-110.4,91.33,50,38,8.59,scattered clouds
234,Yelizovo,RU,53.1873,158.3805,59.14,100,100,4.47,light intensity shower rain
235,Beidao,CN,34.5686,105.8933,70.32,92,100,2.73,overcast clouds
236,Vila Velha,BR,-20.3297,-40.2925,71.55,86,75,11.01,broken clouds
237,Cabedelo,BR,-6.9811,-34.8339,74.07,88,56,16.28,broken clouds
238,San Ignacio,BZ,17.1561,-89.0714,93.34,52,40,0.0,scattered clouds
239,Escarcega,MX,18.6089,-90.7454,85.75,59,91,5.7,overcast clouds
240,Takoradi,GH,4.8845,-1.7554,74.08,91,95,8.97,overcast clouds
241,Vardo,NO,70.3705,31.1107,49.98,71,75,18.41,broken clouds
242,Torres,BR,-29.3353,-49.7269,63.82,94,31,7.2,scattered clouds
243,Venado Tuerto,AR,-33.7456,-61.9688,57.76,49,16,3.76,few clouds
244,Sanquhar,GB,55.3653,-3.9216,59.56,99,44,4.97,scattered clouds
245,Jinka,ET,5.65,36.65,65.66,64,99,4.79,overcast clouds
246,Yumen,CN,40.2833,97.2,63.84,26,97,9.51,overcast clouds
247,Inverell,AU,-29.7833,151.1167,51.67,63,63,11.01,broken clouds
248,Washougal,US,45.5826,-122.3534,88.75,47,0,5.75,clear sky
249,Torbat-E Jam,IR,35.244,60.6225,64.18,17,0,17.18,clear sky
